"id","observed","predicted","residual","standardized_residual","leverage","cooks_distance","flag_cook","flag_leverage","flag_standardized_residual","influential_any"
1,1,0.887755022958092,0.355579642209865,0.358249918262568,0.0148517793926962,0.0000967429033097955,FALSE,FALSE,FALSE,FALSE
2,1,0.997514308656724,0.0499187880586648,0.0499502584583478,0.00125967259953737,0.000000157344142597326,FALSE,FALSE,FALSE,FALSE
3,1,0.976219621133807,0.156075817568825,0.156714897973811,0.00813933243487845,0.0000100769404263039,FALSE,FALSE,FALSE,FALSE
4,1,0.827637316127184,0.45635371688589,0.465327818735931,0.0381991630738219,0.00042998839553971,FALSE,FALSE,FALSE,FALSE
5,1,0.865995630946737,0.393370355849255,0.398914035366613,0.0276007308467412,0.000225841940180109,FALSE,FALSE,FALSE,FALSE
6,1,0.606302835474451,0.805816848850492,0.831454457574881,0.060718527935817,0.00223445912531182,FALSE,FALSE,FALSE,FALSE
7,1,0.969146257803864,0.178426461025884,0.179329937956498,0.0100507595161751,0.0000163253144727923,FALSE,FALSE,FALSE,FALSE
8,1,0.865232014321952,0.39466360487402,0.39996465198014,0.0263319150836404,0.000216314054383312,FALSE,FALSE,FALSE,FALSE
9,1,0.128853662760863,2.6001426399768,2.62881882530778,0.0216977902973537,0.00766361695700574,TRUE,FALSE,TRUE,TRUE
10,1,0.834141203593993,0.445912315953612,0.453208729681221,0.0319397183237336,0.000338840424730186,FALSE,FALSE,FALSE,FALSE
11,1,0.904645643474298,0.324661672682716,0.329211296734537,0.0274485518575311,0.00015294184149221,FALSE,FALSE,FALSE,FALSE
12,0,0.251887045935259,-0.580255584812388,-0.587335222404676,0.0239623607026428,0.000423452920172965,FALSE,FALSE,FALSE,FALSE
13,1,0.995008585317866,0.0708269290856338,0.0709345880326013,0.00303313945435571,0.000000765416397347075,FALSE,FALSE,FALSE,FALSE
14,0,0.199949054643874,-0.499920396613229,-0.508861366844261,0.0348323608751884,0.000467249799467987,FALSE,FALSE,FALSE,FALSE
15,0,0.179718997453656,-0.468075238064849,-0.478906276533745,0.0447209007118987,0.000536847986185124,FALSE,FALSE,FALSE,FALSE
16,0,0.670059526794127,-1.42507885668995,-1.45878377337996,0.0456757807568457,0.00509262720844576,FALSE,FALSE,FALSE,FALSE
17,1,0.50841011471862,0.983318880749767,1.00998077922882,0.0520999666547799,0.00280331001704522,FALSE,FALSE,FALSE,FALSE
18,1,0.966743596828773,0.185473550693488,0.186292563530439,0.00877343116413879,0.0000153588104609836,FALSE,FALSE,FALSE,FALSE
19,1,0.382940196081997,1.2693989967763,1.30670593778352,0.0562856208368967,0.00509193231257471,FALSE,FALSE,FALSE,FALSE
20,1,0.960071557951243,0.203933879253747,0.204625896015752,0.00675228915291997,0.0000142326133591636,FALSE,FALSE,FALSE,FALSE
21,0,0.523713955886935,-1.04860794867635,-1.07266519948136,0.0443521021035994,0.00267002105396203,FALSE,FALSE,FALSE,FALSE
22,1,0.721041649707712,0.621998743205387,0.629721769306398,0.0243779654873623,0.000495431112015005,FALSE,FALSE,FALSE,FALSE
23,0,0.237890666078418,-0.558701787479576,-0.573336321231754,0.0503988964090517,0.00087230574227639,FALSE,FALSE,FALSE,FALSE
24,0,0.0604465606875962,-0.253644269147058,-0.254890256861025,0.00975276442224873,0.0000319934127947605,FALSE,FALSE,FALSE,FALSE
25,1,0.91917474821294,0.296533996449742,0.299160392253429,0.0174813712920627,0.000079618299188224,FALSE,FALSE,FALSE,FALSE
26,1,0.893322748895839,0.345566561170531,0.349040072748791,0.0198041905634745,0.00012307358193265,FALSE,FALSE,FALSE,FALSE
27,0,0.254643895179231,-0.584500285990002,-0.593418206102203,0.029830263157389,0.000541378617176291,FALSE,FALSE,FALSE,FALSE
28,1,0.381830942127097,1.27238362681097,1.30901650415365,0.0551869147342294,0.00500438212831414,FALSE,FALSE,FALSE,FALSE
29,0,0.261219006110338,-0.594626868748242,-0.612895419882187,0.0587254710537406,0.0011717985559387,FALSE,FALSE,FALSE,FALSE
30,1,0.652238615447394,0.730192595061882,0.742881690344506,0.0338700624849971,0.000967363666112189,FALSE,FALSE,FALSE,FALSE
31,0,0.261866844269589,-0.595624976054041,-0.606794690296513,0.0364766200641499,0.000696956833240476,FALSE,FALSE,FALSE,FALSE
32,1,0.98841467251559,0.108264123808083,0.108546619694915,0.0051982878056612,0.00000307840962222531,FALSE,FALSE,FALSE,FALSE
33,1,0.948188991617556,0.233756431102266,0.235306411623503,0.0131307565579867,0.0000368355926730951,FALSE,FALSE,FALSE,FALSE
34,1,0.702902261460136,0.650132987787552,0.66198042036155,0.0354736053815091,0.000805844983570148,FALSE,FALSE,FALSE,FALSE
35,0,0.324366741287773,-0.692887376093498,-0.706409788735944,0.0379184626703424,0.000983382017949769,FALSE,FALSE,FALSE,FALSE
36,0,0.105002752800456,-0.342522805608896,-0.349950632752103,0.0420001983917696,0.000268453761304167,FALSE,FALSE,FALSE,FALSE
37,0,0.338691684658588,-0.715649340397456,-0.726391741462126,0.0293587255954446,0.000797976763484014,FALSE,FALSE,FALSE,FALSE
38,1,0.989787940301795,0.101574710562336,0.101810801627985,0.00463246185622076,0.0000024120488397729,FALSE,FALSE,FALSE,FALSE
